name_main,name_sub,true_label,cosine_similarity,confidence_ice,prob_similarity,confidence_sia,trust_gap,smiles_main,smiles_sub,mz_main,mz_sub,mass_diff,peaks_main,peaks_sub
MassSpecGymID0039738,MassSpecGymID0067621,1.0,0.9946621065814952,0.49466210658149523,0.1375899463891983,0.3624100536108017,0.8570721601922969,c1ccc2c(c1)[nH]c1ccncc12,Oc1cccc2nc3ccccc3nc12,169.076,197.0709,27.9949,"[(113.038, 0.00624543), (114.0456, 0.01434609), (115.0538, 0.16603959), (116.0555, 0.0174808), (117.0564, 0.01281472), (128.0485, 0.00872041), (129.056, 0.00829658), (140.0486, 0.18004582), (141.0561, 0.16804276999999998), (142.0636, 0.07989908), (143.0662, 0.0075009099999999995), (152.0481, 0.00914823), (166.0513, 0.008792379999999999), (167.0593, 0.05976738), (168.0673, 1.0), (169.0744, 0.5174268200000001), (170.0776, 0.044285750000000006)]","[(75.0223, 0.04804804804804805), (78.0331, 0.08708708708708708), (79.0412, 0.06006006006006006), (89.0384, 0.012012012012012012), (91.0541, 0.015015015015015015), (92.049, 0.037037037037037035), (95.0489, 0.16116116116116116), (96.044, 0.023023023023023025), (102.0337, 0.04804804804804805), (105.0444, 0.05205205205205205), (115.0543, 0.14114114114114115), (116.0499, 0.013013013013013013), (116.0574, 0.013013013013013013), (120.044, 0.01701701701701702), (125.0385, 0.01901901901901902), (128.0497, 0.018018018018018018), (129.045, 0.02902902902902903), (130.04, 0.03903903903903904), (140.049, 0.01001001001001001), (141.0571, 0.009009009009009009), (142.0655, 0.014014014014014014), (152.0493, 0.12512512512512514), (153.0447, 0.06406406406406406), (167.0603, 0.018018018018018018), (168.0679, 0.7867867867867868), (169.0755, 1.0), (170.06, 0.02902902902902903), (171.0558, 0.014014014014014014), (179.0601, 0.2772772772772773), (180.0632, 0.036036036036036036), (197.0708, 0.12212212212212212)]"
MassSpecGymID0029502,MassSpecGymID0067624,1.0,0.9949583808459443,0.49495838084594435,0.171436607837677,0.328563392162323,0.8235217730082673,c1ccc2c(c1)[nH]c1ncccc12,Oc1cccc2nc3ccccc3nc12,169.076,197.0709,27.9949,"[(113.038, 0.006006006006006006), (114.0456, 0.014014014014014014), (115.0538, 0.16516516516516516), (116.0555, 0.01701701701701702), (117.0564, 0.012012012012012012), (128.0485, 0.008008008008008008), (129.056, 0.008008008008008008), (140.0486, 0.17917917917917917), (141.0561, 0.16716716716716717), (142.0636, 0.07907907907907907), (143.0662, 0.007007007007007007), (152.0481, 0.009009009009009009), (166.0513, 0.008008008008008008), (167.0593, 0.05905905905905906), (168.0673, 1.0), (169.0744, 0.5165165165165165), (170.0776, 0.044044044044044044)]","[(61.0071, 0.0012239500000000001), (68.9977, 0.00105566), (74.0148, 0.00333527), (75.0223, 0.04831554), (76.0176, 0.008047490000000001), (76.0266, 0.00477342), (78.0331, 0.08728313), (79.0412, 0.060891650000000005), (80.045, 0.00324347), (81.0328, 0.00296809), (82.028, 0.00148404), (89.0384, 0.01248432), (90.0332, 0.00299868), (90.0467, 0.0025856), (91.0541, 0.01510052), (92.049, 0.03766715), (93.0331, 0.00142285), (95.0489, 0.16137817), (96.044, 0.02349989), (99.0228, 0.0036259599999999997), (100.0181, 0.00165234), (101.0391, 0.00374836), (102.0337, 0.04828494), (104.0487, 0.00388605), (105.0444, 0.052584070000000004), (106.0283, 0.00189713), (106.0482, 0.00374836), (107.0499, 0.00111686), (114.0467, 0.0058290699999999996), (115.0543, 0.14187142), (116.0499, 0.01375417), (116.0574, 0.01399896), (117.0576, 0.00429913), (119.0605, 0.00413084), (120.044, 0.017150639999999998), (120.0678, 0.00113216), (125.0385, 0.01976684), (126.0351, 0.0031975799999999998), (126.0419, 0.00286099), (127.0548, 0.00163704), (128.0497, 0.018405190000000002), (129.045, 0.029650259999999998), (130.04, 0.03994676), (133.0627, 0.00100976), (135.0803, 0.00107096), (138.0545, 0.00114746), (140.049, 0.0103883), (141.0571, 0.00937854), (142.0532, 0.00480401), (142.0655, 0.014503839999999999), (143.0486, 0.0015146399999999998), (143.0613, 0.00477342), (146.061, 0.00220311), (147.0561, 0.00203482), (148.0498, 0.00104036), (151.0416, 0.00483461), (152.0493, 0.12539396), (153.0447, 0.0646706), (154.0475, 0.00641045), (166.0525, 0.0026162000000000004), (167.0603, 0.0180533), (168.0679, 0.78738411), (169.0755, 1.0), (170.06, 0.02960436), (171.0558, 0.014228449999999998), (172.0622, 0.00119335), (177.043, 0.00209602), (178.0529, 0.00393195), (179.0601, 0.27825036000000003), (180.0632, 0.03676448), (196.0626, 0.00188183), (197.0708, 0.12213519)]"
MassSpecGymID0029510,MassSpecGymID0067621,1.0,0.9949583808459443,0.49495838084594435,0.1856769323348999,0.3143230676651001,0.8092814485110444,c1ccc2c(c1)[nH]c1ncccc12,Oc1cccc2nc3ccccc3nc12,169.076,197.0709,27.9949,"[(113.038, 0.00624543), (114.0456, 0.01434609), (115.0538, 0.16603959), (116.0555, 0.0174808), (117.0564, 0.01281472), (128.0485, 0.00872041), (129.056, 0.00829658), (140.0486, 0.18004582), (141.0561, 0.16804276999999998), (142.0636, 0.07989908), (143.0662, 0.0075009099999999995), (152.0481, 0.00914823), (166.0513, 0.008792379999999999), (167.0593, 0.05976738), (168.0673, 1.0), (169.0744, 0.5174268200000001), (170.0776, 0.044285750000000006)]","[(75.0223, 0.04804804804804805), (78.0331, 0.08708708708708708), (79.0412, 0.06006006006006006), (89.0384, 0.012012012012012012), (91.0541, 0.015015015015015015), (92.049, 0.037037037037037035), (95.0489, 0.16116116116116116), (96.044, 0.023023023023023025), (102.0337, 0.04804804804804805), (105.0444, 0.05205205205205205), (115.0543, 0.14114114114114115), (116.0499, 0.013013013013013013), (116.0574, 0.013013013013013013), (120.044, 0.01701701701701702), (125.0385, 0.01901901901901902), (128.0497, 0.018018018018018018), (129.045, 0.02902902902902903), (130.04, 0.03903903903903904), (140.049, 0.01001001001001001), (141.0571, 0.009009009009009009), (142.0655, 0.014014014014014014), (152.0493, 0.12512512512512514), (153.0447, 0.06406406406406406), (167.0603, 0.018018018018018018), (168.0679, 0.7867867867867868), (169.0755, 1.0), (170.06, 0.02902902902902903), (171.0558, 0.014014014014014014), (179.0601, 0.2772772772772773), (180.0632, 0.036036036036036036), (197.0708, 0.12212212212212212)]"
MassSpecGymID0227730,MassSpecGymID0230733,1.0,0.9577263823768108,0.45772638237681085,0.1871930360794067,0.31280696392059326,0.7705333462974041,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(Cl)cc1,260.20089,331.15717,70.95627999999999,"[(41.038567, 0.004), (42.033783, 0.009389999999999999), (44.049404, 0.0143), (55.054085, 0.04568), (56.049366, 0.0034300000000000003), (69.069664, 0.01748), (70.064926, 0.0872), (79.020988, 0.00619), (83.072823, 0.0035299999999999997), (96.080605, 0.00836), (98.096199, 1.0), (98.102821, 0.01353), (98.107796, 0.0129), (98.110985, 0.00931), (98.115448, 0.00328), (98.119888, 0.00233), (105.069504, 0.00158), (133.064697, 0.0095), (137.953995, 0.00233)]","[(42.033821, 0.00621), (44.049374, 0.01179), (55.054108, 0.039009999999999996), (69.069649, 0.01485), (70.064926, 0.06968), (86.096199, 0.0060999999999999995), (96.080887, 0.0066), (98.096245, 1.0), (98.102867, 0.011279999999999998), (169.08905, 0.01361), (204.057648, 0.01312), (218.073776, 0.03795), (246.068604, 0.01322)]"
MassSpecGymID0228246,MassSpecGymID0232298,1.0,0.8534921802422333,0.3534921802422333,0.0854770541191101,0.4145229458808899,0.7680151261231232,CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,231.14919,336.17402,105.02482999999998,"[(41.038712, 0.00246), (42.033791, 0.028679999999999997), (44.049412, 0.12428), (44.051659, 0.0044), (44.052689, 0.00335), (53.038483, 0.00402), (55.054096, 0.20283), (55.057259, 0.006790000000000001), (55.058739, 0.00453), (56.049355, 0.009519999999999999), (58.065102, 0.0023799999999999997), (67.053955, 0.00484), (69.069679, 0.024249999999999997), (70.064926, 0.33514000000000005), (70.069298, 0.0074399999999999996), (70.071823, 0.00544), (83.072784, 0.01076), (96.080582, 0.05405), (98.09623, 1.0), (98.103035, 0.016579999999999998), (98.107765, 0.01401), (98.111008, 0.0096), (98.11528, 0.00329), (104.930359, 0.00243), (122.059952, 0.06649), (122.070282, 0.0023599999999999997), (134.060059, 0.00853), (146.060013, 0.00688), (152.951187, 0.00368), (160.075668, 0.0066500000000000005), (172.075867, 0.00919), (185.083496, 0.0039000000000000003), (200.107376, 0.05634), (231.149887, 0.06708)]","[(42.033787, 0.01591), (44.049389, 0.04714), (55.054089, 0.06556000000000001), (56.049332, 0.00643), (58.064987, 0.0032500000000000003), (69.069656, 0.01127), (70.064888, 0.2238), (70.069443, 0.00387), (70.071808, 0.00482), (71.072723, 0.00524), (83.072838, 0.00521), (96.080521, 0.07417), (97.088364, 0.0032400000000000003), (98.096169, 1.0), (98.103203, 0.01073), (98.107719, 0.016739999999999998), (98.110924, 0.00963), (98.115379, 0.0043), (132.080704, 0.009649999999999999), (134.096344, 0.012450000000000001), (144.080719, 0.010860000000000002), (145.088486, 0.00381), (158.096054, 0.00265), (170.097076, 0.00211), (182.096436, 0.0034300000000000003), (184.112152, 0.01829), (197.066895, 0.00375), (197.973999, 0.00228), (198.127853, 0.00492), (210.128052, 0.04317), (227.085342, 0.01692), (239.154114, 0.00295), (241.170425, 0.03234), (305.132324, 0.00488), (336.174744, 0.033769999999999994)]"
MassSpecGymID0227729,MassSpecGymID0230734,1.0,0.9577263823768108,0.45772638237681085,0.2013009488582611,0.2986990511417389,0.7564254335185497,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(Cl)cc1,260.20089,331.15717,70.95627999999999,"[(42.034092, 0.00109), (55.05418, 0.00196), (70.064957, 0.00486), (98.096214, 1.0), (98.10289, 0.0137), (98.107811, 0.01341), (98.110893, 0.00877), (98.115662, 0.00364), (98.119606, 0.0022500000000000003), (137.954468, 0.00713), (260.201508, 0.00318)]","[(98.096199, 1.0), (98.102997, 0.01427), (98.107758, 0.01505), (98.110756, 0.01004), (246.068451, 0.01284), (331.158051, 0.03579)]"
MassSpecGymID0228244,MassSpecGymID0232296,1.0,0.8534921802422333,0.3534921802422333,0.1049316599965095,0.3950683400034905,0.7485605202457237,CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,231.14919,336.17402,105.02482999999998,"[(41.03854, 0.0127), (42.033791, 0.12958999999999998), (44.049438, 0.37016), (44.052723, 0.00799), (53.038506, 0.02112), (55.050632, 0.00622), (55.054119, 1.0), (55.05722, 0.02384), (55.058849, 0.01972), (55.060368, 0.01102), (56.049374, 0.028980000000000002), (57.057217, 0.00571), (58.065002, 0.01167), (67.054001, 0.017669999999999998), (68.04937, 0.013600000000000001), (69.069687, 0.07371), (70.064957, 0.8737699999999999), (70.069153, 0.01184), (70.071922, 0.016479999999999998), (74.930809, 0.00668), (79.054108, 0.0070999999999999995), (81.057281, 0.00724), (82.065002, 0.01373), (83.0728, 0.051609999999999996), (94.064972, 0.01698), (95.049194, 0.00586), (96.080635, 0.1318), (98.096283, 0.90807), (98.102867, 0.01004), (106.065224, 0.005540000000000001), (122.060013, 0.14429999999999998), (134.059937, 0.01694), (146.060059, 0.02093), (160.076019, 0.00676), (172.076157, 0.01498), (184.07608, 0.01169), (185.083771, 0.0096), (200.107513, 0.0218), (231.149857, 0.00912)]","[(42.033794, 0.06389), (44.049442, 0.13631000000000001), (53.038502, 0.0076), (55.054131, 0.35774), (55.057175, 0.00959), (55.058853, 0.0062900000000000005), (56.049393, 0.01914), (58.064995, 0.01019), (62.018326, 0.004699999999999999), (67.054024, 0.00701), (68.049294, 0.006520000000000001), (69.069717, 0.03451), (70.064957, 0.59693), (70.069267, 0.00792), (70.071922, 0.010169999999999998), (71.072815, 0.00995), (79.054039, 0.005), (82.064964, 0.01203), (83.072815, 0.02313), (86.034531, 0.00416), (94.065125, 0.00643), (96.080643, 0.15451), (97.088448, 0.00681), (98.096298, 1.0), (98.102852, 0.012190000000000001), (98.107887, 0.011009999999999999), (98.111168, 0.00808), (101.949829, 0.0055000000000000005), (125.046158, 0.0038900000000000002), (130.065231, 0.018000000000000002), (132.08075, 0.044109999999999996), (134.096451, 0.03693), (143.072632, 0.00411), (144.080917, 0.030459999999999997), (145.088654, 0.00453), (156.081009, 0.01711), (158.096909, 0.0069099999999999995), (168.08136, 0.005829999999999999), (170.096695, 0.00947), (181.089661, 0.00418), (182.096619, 0.01417), (183.104141, 0.00373), (184.112366, 0.02088), (185.12059, 0.00462), (195.104416, 0.00739), (196.112198, 0.00464), (197.120316, 0.00378), (198.127945, 0.0074199999999999995), (210.128357, 0.046639999999999994), (214.147156, 0.01053), (227.085709, 0.009250000000000001), (241.170837, 0.028919999999999998)]"
MassSpecGymID0222232,MassSpecGymID0227730,1.0,0.9966403349232686,0.49664033492326864,0.2621001899242401,0.2378998100757599,0.7345401449990285,C(#Cc1nc2ncccc2nc1OCCN1CCCC1)c1ccccc1,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,345.17099,260.20089,84.9701,"[(41.038589, 0.00294), (42.033772, 0.0027900000000000004), (44.049381, 0.02226), (55.05407, 0.056440000000000004), (56.04932, 0.1841), (56.052498, 0.00505), (56.054127, 0.0037099999999999998), (69.069626, 0.03249), (70.064911, 0.01502), (78.033615, 0.0028599999999999997), (81.069435, 0.0023), (96.080505, 0.0124), (98.096169, 1.0), (98.102974, 0.01706), (98.107727, 0.01544), (98.110825, 0.008369999999999999), (98.115456, 0.00424), (246.103592, 0.0024), (274.097687, 0.0037099999999999998)]","[(41.038567, 0.004), (42.033783, 0.009389999999999999), (44.049404, 0.0143), (55.054085, 0.04568), (56.049366, 0.0034300000000000003), (69.069664, 0.01748), (70.064926, 0.0872), (79.020988, 0.00619), (83.072823, 0.0035299999999999997), (96.080605, 0.00836), (98.096199, 1.0), (98.102821, 0.01353), (98.107796, 0.0129), (98.110985, 0.00931), (98.115448, 0.00328), (98.119888, 0.00233), (105.069504, 0.00158), (133.064697, 0.0095), (137.953995, 0.00233)]"
MassSpecGymID0222803,MassSpecGymID0229083,1.0,0.8877516750878811,0.3877516750878811,0.1985358148813247,0.3014641851186753,0.6892158602065563,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,CC(Nc1cc(=O)n(C(C)C)c(=O)[nH]1)c1ccccc1,261.15975,274.155,12.995249999999999,"[(42.03373, 0.00207), (51.022938, 0.00243), (53.03846, 0.0023599999999999997), (55.054047, 0.00165), (56.049477, 0.0012900000000000001), (61.010353, 0.00209), (67.054001, 0.005), (68.049423, 0.0012900000000000001), (77.038437, 0.014070000000000001), (79.021019, 0.00322), (79.053986, 0.12969), (79.059273, 0.00218), (79.062172, 0.0017100000000000001), (81.057014, 0.00219), (82.064888, 0.009260000000000001), (84.080582, 0.00797), (94.064873, 0.00222), (95.048927, 0.03925), (96.080544, 0.0446), (103.054024, 0.08907999999999999), (103.061165, 0.00156), (105.044426, 0.00645), (105.053001, 0.00379), (105.069641, 1.0), (105.076912, 0.01737), (105.082413, 0.00959), (105.086159, 0.00903), (105.091042, 0.0042), (105.095428, 0.00194), (110.060112, 0.00136), (124.936684, 0.0013700000000000001), (134.096313, 0.0031), (139.086639, 0.0031), (146.096786, 0.0015), (146.956802, 0.0013), (154.946594, 0.0015), (169.09726, 0.02255), (200.143646, 0.00294), (261.16095, 0.00165)]","[(61.010509, 0.01667), (68.012894, 0.09087999999999999), (72.936897, 0.01224), (79.054016, 0.06567), (85.039459, 0.35009999999999997), (85.045677, 0.013859999999999999), (90.947762, 0.01291), (95.048935, 0.02182), (103.054146, 0.054880000000000005), (105.069748, 1.0), (105.077209, 0.01744), (111.018837, 0.02418), (118.924881, 0.01188), (128.045364, 0.27629000000000004)]"
MassSpecGymID0215834,MassSpecGymID0220852,1.0,0.8614071323953958,0.3614071323953958,0.1777779310941696,0.3222220689058304,0.6836292013012262,COc1ccc(C(CNC(=O)c2cccc(OC)c2)c2c[nH]c3ccccc23)cc1,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,401.18597,425.15073,23.964760000000012,"[(51.022896, 0.00219), (53.038311, 0.01006), (77.038223, 0.02322), (79.053795, 0.02396), (92.025269, 0.0354), (95.048721, 0.09147), (95.055557, 0.00196), (105.04425, 0.03778), (107.048691, 0.08671), (121.064293, 0.00314), (125.059219, 0.36631), (125.06926, 0.00418), (125.075798, 0.0049499999999999995), (125.080528, 0.00381), (133.064377, 0.01637), (135.030228, 0.0046500000000000005), (135.043594, 1.0), (135.054825, 0.09169000000000001), (135.063492, 0.0097), (135.068085, 0.00866), (135.075089, 0.0033900000000000002), (135.08075, 0.00242), (136.047012, 0.0039700000000000004), (158.05925, 0.00168)]","[(51.022823, 0.006), (53.038349, 0.00202), (58.960178, 0.00757), (67.054153, 0.00185), (77.038338, 0.0139), (79.053833, 0.03952), (95.048767, 0.030369999999999998), (105.033096, 0.018420000000000002), (105.044243, 0.00685), (107.049255, 0.0017299999999999998), (135.019302, 0.00434), (135.04364, 1.0), (135.053787, 0.01627), (135.062057, 0.009729999999999999), (135.067947, 0.00889), (135.074722, 0.00316), (136.973969, 0.008159999999999999), (138.969604, 0.00232), (154.984497, 0.00812), (156.980453, 0.00229)]"
